gene,meta.logFC.weighted
egr:104448977,-1.756342098
egr:104448981,2.623623216
egr:104449015,-6.609516812
egr:104449147,-2.510260389
egr:104449185,-2.129376623
egr:104449229,2.011712514
egr:104449297,-3.726649051
egr:104449320,-1.516406079
egr:104449323,2.381271651
egr:104449336,1.870124439
egr:104449342,-3.68665546
egr:104449393,2.678447309
egr:104449460,1.657576815
egr:104449482,-1.920875554
egr:104449496,-2.691848495
egr:104449527,-1.055740577
egr:104449544,1.201909697
egr:104449589,2.262862032
egr:104449619,1.374962875
egr:104449656,-2.452861334
egr:104449672,-3.197343445
egr:104449755,2.824054894
egr:104449839,-1.698529037
egr:104450123,-1.835621106
egr:104450144,-1.571338538
egr:104450169,4.506640355
egr:104450278,-2.206832034
egr:104450300,-1.813529406
egr:104450301,-2.242198165
egr:104450354,1.356362304
egr:104450401,2.240369625
egr:104450557,4.13398657
egr:104450567,5.665829193
egr:104450568,2.945553933
egr:104450615,-2.280748243
egr:104450627,3.050624165
egr:104450676,-1.420761355
egr:104450758,3.669253356
egr:104450764,3.289410476
egr:104450842,-1.428108259
egr:104450844,-1.861036086
egr:104450981,1.467855889
egr:104451046,5.374805897
egr:104452405,1.284747544
egr:104452453,4.376665477
egr:104452461,-1.605653909
egr:104452509,2.581357618
egr:104452670,-2.044393225
egr:104452953,1.810384196
egr:104453057,1.937590068
egr:104453094,2.161407672
egr:104453134,-1.432354331
egr:104453137,-2.031792113
egr:104453138,-2.015406085
egr:104453153,-1.68852516
egr:104453185,3.904279934
egr:104453198,6.559584741
egr:104453221,2.72652164
egr:104453362,-1.638615352
egr:104453381,-2.700233137
egr:104453418,-2.021503661
egr:104453686,-2.117184913
egr:104453718,2.892248396
egr:104453835,2.630576749
egr:104453892,5.30144143
egr:104453930,-1.537035067
egr:104453948,-4.922948557
egr:104454080,2.142074081
egr:104454093,1.877337345
egr:104454167,3.605452339
egr:104454319,2.927702266
egr:104454390,-1.765503196
egr:104454392,-1.409736925
egr:104454437,-2.147283547
egr:104454443,-1.79050301
egr:104454512,-2.244154574
egr:104454591,-3.735805634
egr:104454662,1.25550529
egr:104455368,-1.422669232
egr:104455372,1.819842543
egr:104455808,3.754896859
egr:104456017,1.249839778
egr:104456070,4.196228188
egr:104456105,2.315748055
egr:104456127,-1.862111249
egr:104456174,3.35053962
egr:104456242,-1.595075994
egr:104456313,1.786627395
egr:104456316,3.85608191
egr:104456671,1.640072849
egr:104456721,3.108005874
egr:104456723,-1.024801547
egr:104456731,-1.148123037
egr:104456790,3.052921726
egr:104456837,-2.046476966
egr:104456927,2.577454999
egr:104457007,3.597177488
egr:104457022,3.959187474
egr:104457082,-1.674728498
egr:104457296,-1.17988782
egr:104457377,1.672054798
egr:104457383,2.268827622
egr:108954252,-1.313829981
egr:108955342,2.530680881
egr:108957623,-1.035597136
egr:108958036,5.864701315
egr:108958104,4.917387028
egr:108959179,-4.000020747
egr:108959425,2.413190092
egr:108960543,1.919537466
egr:120285949,1.691728911
egr:120285994,6.991628089
egr:120286510,-1.968258765
egr:120286543,-3.010136841
egr:120286603,-2.497200026
egr:120286652,1.337167507
egr:120286908,3.085929028
egr:120286912,-1.256965226
egr:120287007,-1.171530568
egr:120287428,2.14375217
egr:120288145,-1.255976413
egr:120288296,2.837157456
egr:120288705,-2.492670907
egr:120289203,3.220796538
egr:120289214,3.323856903
egr:120289409,-1.341156781
egr:120289894,2.327812087
egr:120290284,2.320439114
egr:120290878,-1.614109348
egr:120292200,1.269861074
egr:120292232,6.122736038
egr:120292478,-1.959436539
egr:120292789,1.142712211
egr:120292935,-2.998353105
egr:120293831,-2.210539972
egr:120293867,3.849085961
egr:120294099,-4.106848876
egr:120294225,-2.703453869
egr:120294793,4.293879257
egr:120294965,3.762762914
egr:120294992,-1.777830876
egr:120295377,-1.598105352
egr:120295408,-1.824209583
egr:120295753,4.29370107
egr:120295974,-1.6807183
egr:120296346,1.634429327
egr:120296392,2.425603806
