"gene","meta.logFC.mean","meta.logFC.weighted","meta.P.Value","meta.adj.P.Val","heterogeneity.variance","direction"
"LOC104433887",-1.65191283807727,-3.45790435749321,2.1094237467878e-15,1.61648155178844e-13,2.87339990261874,"Down"
"LOC104433954",-0.744725521539807,-1.10857143436881,2.69761990523421e-12,1.14845815044899e-10,0.453267405725334,"Down"
"LOC104434198",-1.18570022865026,-1.48000794391245,1.11022302462516e-16,1.01977026518737e-14,0.293551858006074,"Down"
"LOC104434817",-0.798644381626491,-1.16572451850825,1.42688650678346e-05,0.000132195243517925,0.349932263032448,"Down"
"LOC104434897",-0.947581709126714,-1.30300768522148,1.22596599538838e-10,3.72807641296051e-09,0.615390215369066,"Down"
"LOC104435310",-1.57870088172405,-3.1376215352548,0,0,2.36881167504254,"Down"
"LOC104435330",-1.93336728263045,-3.19305515351154,2.22044604925031e-16,1.9917920898643e-14,4.46851800725398,"Down"
"LOC104435383",-0.41500113579285,-2.59633769096674,2.51462745404218e-07,3.7303552513753e-06,4.80253541815523,"Down"
"LOC104435678",-1.29369994339664,-1.76987194423591,0,0,0.910332705845946,"Down"
"LOC104436013",-1.35764206788795,-3.05199304162768,0,0,2.41603546470711,"Down"
"LOC104436127",-0.933105019043659,-1.5685596458629,7.83798011383396e-07,1.00777787455964e-05,0.508088492062264,"Down"
"LOC104436291",-1.01059286468467,-1.56205955433122,9.11240259915402e-08,1.48935862347294e-06,0.975396414124127,"Down"
"LOC104436385",-1.2100901810789,-1.95214943864422,0,0,0.973764841089594,"Down"
"LOC104437008",-1.1311816815374,-1.8572079539483,4.55191440096314e-14,2.6714856925215e-12,0.497382470270149,"Down"
"LOC104437131",0.155069383163665,-1.16338651354963,1.99486838159402e-09,4.67653329066845e-08,1.3913247392396,"Down"
"LOC104437268",-0.883764008278988,-3.1615123241903,1.11022302462516e-16,1.01977026518737e-14,8.89246249684012,"Down"
"LOC104437310",-1.67857124639585,-3.49303819760086,0,0,3.00996568276048,"Down"
"LOC104437406",-1.10337003543766,-1.93439797655058,7.99465905032548e-07,1.02595574348698e-05,0.99662078039174,"Down"
"LOC104438363",-1.0833432813464,-1.55382055883316,4.31210622764411e-13,2.08763539948813e-11,1.09290595222015,"Down"
"LOC104438484",-1.20049442376849,-1.57606059918834,3.60502103835536e-07,5.09700945017022e-06,0.968007656890135,"Down"
"LOC104438577",-1.08275440752184,-1.71973364995104,3.31350058502267e-10,9.22675150514574e-09,0.88609980225603,"Down"
"LOC104438959",-1.08935957420877,-2.49251203746517,3.68816088780477e-12,1.52419357737768e-10,2.18719245939638,"Down"
"LOC104439005",-0.588078654503227,-2.4117320084354,3.87345711061471e-12,1.59340480312572e-10,3.76335055696499,"Down"
"LOC104439761",-1.31001261611435,-2.03043545254933,1.11022302462516e-16,1.01977026518737e-14,0.63308548208607,"Down"
"LOC104440761",-1.37747903908031,-1.44614560155438,2.60697463616566e-09,5.94571995889449e-08,0.00420264293998976,"Down"
"LOC104440811",-0.176514068927505,-1.23402266514612,1.37405642419708e-11,5.00048403709496e-10,2.29313295053307,"Down"
"LOC104440819",-0.657373159193564,-1.0175057339274,6.63100854225718e-08,1.11574830684994e-06,0.389965408896199,"Down"
"LOC104440903",-1.48410629332135,-3.32398034808328,1.4432899320127e-15,1.13520467057222e-13,2.87354715374028,"Down"
"LOC104440905",-1.99395418360257,-3.19940639972347,7.7715611723761e-16,6.39389700013188e-14,3.16124391189712,"Down"
"LOC104440910",-0.531421621711223,-1.82222958701264,0,0,3.39380806909832,"Down"
"LOC104441053",-1.06659565385165,-1.52376379009189,4.70197880630963e-10,1.25359615868818e-08,0.235374306062486,"Down"
"LOC104441243",-1.74048510669482,-1.7980258299316,2.24265050974282e-14,1.39884021678633e-12,0.147431874759785,"Down"
"LOC104441382",-0.947291083949185,-1.29528230492754,4.31507209808224e-06,4.62023479880621e-05,0.488691360051348,"Down"
"LOC104441580",-1.31057636326315,-1.67821356173029,1.2847756192258e-10,3.88051428865486e-09,0.138100377641191,"Down"
"LOC104441634",-1.22884831419826,-1.78070411693108,0,0,0.935375489517063,"Down"
"LOC104441820",-1.0389658879098,-1.41591595845777,2.17826725545933e-08,4.11431732807569e-07,0.147867366028728,"Down"
"LOC104441822",-1.36194485404398,-3.03326203082128,1.01030295240889e-14,6.86008493330605e-13,2.77236627962876,"Down"
"LOC104441844",-0.985590368762136,-1.68295919018131,6.01284577683714e-11,1.9667138607384e-09,1.45516334174323,"Down"
"LOC104442164",-1.22581524865478,-1.5008801245726,1.05693781504712e-08,2.16397932346403e-07,0.130480025318208,"Down"
"LOC104442488",-1.00848745005727,-1.72201357423054,5.70322210913243e-06,5.91516319369841e-05,0.869405599541977,"Down"
"LOC104442491",-1.6712624361236,-3.17403693985334,9.99200722162641e-16,8.09654458281698e-14,2.46239693007228,"Down"
"LOC104442613",-1.26437639719021,-2.38163211375209,8.80818751269885e-10,2.20464512620106e-08,1.3270964432002,"Down"
"LOC104442616",-1.57672867505481,-2.46314786013437,1.87448945254687e-11,6.61522126404731e-10,2.0400907484059,"Down"
"LOC104443304",-0.834397257406139,-1.42089516165479,1.05563068286685e-08,2.16295420513153e-07,0.481960096617808,"Down"
"LOC104443337",-1.16744182747505,-1.90801209665552,2.88324919495153e-13,1.44275422869021e-11,0.908794895350639,"Down"
"LOC104443704",-1.11333477162249,-2.17506371198973,4.44089209850063e-16,3.80540469565129e-14,1.17863136868972,"Down"
"LOC104443716",-0.829799790861332,-1.37092846814947,1.5525573870967e-07,2.4083945447843e-06,0.51449665380244,"Down"
"LOC104443760",-0.719259673920973,-2.04106508099244,1.32083233239655e-12,5.9240876232789e-11,6.54561552410852,"Down"
"LOC104443944",-1.38130054989607,-1.65733575612998,1.80318093789822e-10,5.274058444424e-09,0.261064179715091,"Down"
"LOC104443946",-1.50322586285793,-2.12071979713552,2.43555287049446e-09,5.60720717077528e-08,1.13512343746514,"Down"
